year,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1945,"16,08,87,585","39,13,32,035","9,85,01,171","3,69,55,033","1,36,74,466","70,13,50,290","8,56,827","14,26,350","19,29,388","77,96,835","1,20,09,400","4,90,50,320","1,94,36,742",0,0,0,0,"6,22,73,219","13,07,60,281",0,0,"11,62,37,936","11,62,37,936","12,710","53,89,197","20,809","5,52,28,775","15,495","1,20,950",181,0,"42,86,60,117","3,32,10,080","15,34,86,530","98,56,926","1,63,65,02,751","1,61,70,00,000","2,25,00,00,000",1.1
1950,"13,33,01,043","40,19,35,856","10,66,10,911","3,83,07,544","1,63,24,768","69,64,80,122","22,04,231","18,60,297","25,28,641","71,05,125","1,36,98,294","5,69,21,304","2,09,44,082",0,0,"3,87,994",0,"21,58,67,687","29,41,21,067",0,"1,40,31,137","14,49,80,765","15,90,11,902","1,19,462","30,13,49,500","59,32,557","6,54,52,839","6,38,739","9,21,828","18,17,254","26,46,410","43,19,42,094","8,88,53,880","19,29,25,316","1,21,45,951","2,25,59,11,264","2,23,10,00,000","2,78,02,96,616",1.1
1955,"18,93,47,338","47,43,78,130","11,16,61,338","3,81,77,572","2,24,37,724","83,60,02,102","24,96,432","16,53,007","22,25,241","66,11,524","1,29,86,204","7,88,82,540","2,42,56,503",0,0,"4,45,582",0,"24,04,87,382","34,40,72,007",0,"3,35,22,360","14,58,61,839","17,93,84,199","1,40,762","32,87,04,605","64,07,617","6,81,45,114","7,61,302","11,82,738","16,20,662","29,56,319","38,57,02,150","9,37,10,944","30,41,28,449","2,13,79,050","2,56,59,05,174","2,53,60,00,000","3,03,94,33,944",1.1
1960,"22,02,93,770","54,19,57,872","11,82,68,109","4,18,46,700","4,46,01,144","96,69,67,595","28,18,847","17,16,903","23,00,405","68,92,701","1,37,28,856","10,43,25,384","2,71,74,803",0,0,"5,21,848",0,"30,31,01,053","43,51,23,088",0,"1,67,66,250","18,36,72,909","20,04,39,159","1,70,443","36,11,69,167","80,88,138","7,13,57,167","12,78,349","13,57,348","20,31,760","35,93,958","32,50,16,083","13,57,68,801","43,46,29,671","1,89,04,435","2,96,07,19,583","2,92,10,00,000","3,34,54,09,879",1.1
1965,"23,44,37,703","61,41,15,021","12,59,54,494","4,50,86,639","5,51,19,929","1,07,47,13,786","32,95,632","17,60,345","23,48,076","68,49,626","1,42,53,679","12,91,92,812","1,70,97,714","40,000",0,"5,98,115",0,"36,77,05,416","51,46,34,057",0,"1,83,05,680","19,42,87,704","21,25,93,384","1,48,944","39,78,63,182","88,95,685","7,49,82,591","16,58,891","17,04,647","23,41,748","44,41,376","35,88,44,822","16,08,93,706","47,40,97,850","4,11,59,669","3,30,20,68,346","3,28,00,00,000","3,70,66,01,448",1.1
1970,"24,79,32,230","67,10,06,540","13,45,95,635","4,60,79,842","7,69,91,429","1,17,66,05,676","36,63,721","19,23,986","25,74,798","66,70,904","1,48,33,409","15,12,64,004","3,65,72,141","3,74,000",0,"7,00,450",0,"40,34,31,693","59,23,42,288",0,"2,08,62,636","20,79,39,998","22,88,02,634","1,07,671","44,98,24,489","1,06,86,632","7,91,56,350","22,94,978","19,81,266","26,28,762","52,86,931","37,91,56,729","16,70,09,224","58,88,38,181","2,62,58,961","3,69,95,55,220","3,65,50,00,000","4,08,63,87,665",1.1
1975,"26,48,57,729","74,83,25,898","13,71,92,284","4,81,53,338","10,15,87,361","1,30,01,16,609","39,10,099","22,53,657","29,10,930","68,39,862","1,59,14,548","23,89,53,304","4,43,73,213","4,20,500",0,"9,24,465","2,700","37,90,00,166","66,36,74,348",0,"2,29,29,200","23,73,95,084","26,03,24,284","1,79,084","48,86,21,807","1,24,77,870","8,54,16,548","26,07,053","28,95,296","29,42,380","51,74,923","37,23,44,153","16,86,15,279","69,04,31,832","2,68,00,685","4,07,17,36,010","4,02,30,00,000","4,45,38,63,820",1.1
1980,"27,89,62,191","79,88,34,729","13,79,02,427","5,10,93,360","12,52,85,902","1,39,20,78,609","43,00,992","24,39,116","31,53,787","67,13,100","1,66,06,995","27,78,04,364","5,08,27,912","6,68,250",0,"11,48,480","15,84,485","31,51,05,986","64,71,39,477",0,"3,04,00,850","26,80,01,266","29,84,02,116","1,92,461","53,75,94,394","1,42,76,856","8,94,29,228","32,05,049","38,75,752","32,58,083","54,70,087","39,84,17,206","16,56,29,178","73,78,01,266","3,50,31,049","4,31,33,76,757","4,41,30,00,000","4,85,02,24,998",1.1
1985,"30,50,61,321","86,53,16,946","14,14,35,053","5,66,51,880","13,84,53,851","1,50,69,19,051","45,80,474","24,66,942","33,20,124","64,15,455","1,67,82,995","31,77,88,564","6,26,53,376","8,99,500",0,"12,02,490",0,"36,45,84,661","74,71,28,591",0,"3,62,32,325","30,14,38,364","33,76,70,689","2,63,891","60,16,22,535","1,49,21,905","9,25,20,741","31,80,424","46,27,936","35,67,900","11,69,027","43,56,29,032","16,60,66,939","78,81,96,309","3,63,73,149","4,72,02,67,965","4,83,40,00,000","5,27,77,25,410",1.1
1990,"39,17,72,588","92,85,27,756","14,79,70,918","6,39,54,053","16,28,55,904","1,69,50,81,219","43,95,315","19,26,083","24,58,253","60,89,896","1,48,69,547","51,63,97,560","7,84,07,673","10,95,087",0,"91,23,315",0,"39,46,56,683","99,96,80,318",0,"3,93,03,150","33,59,44,605","37,52,47,755","8,78,401","65,98,49,828","1,92,01,480","9,46,07,820","50,64,983","58,84,833","38,84,764","13,00,279","46,91,99,898","18,21,82,331","83,82,71,280","3,62,82,109","5,36,52,04,736","5,31,30,00,000","5,68,70,11,326",1.1
