year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1945,Africa,"20,74,180","6,72,337","72,51,492","4,19,457","41,70,594","1,45,88,060",0,0,0,"80,487","80,487",0,0,0,0,0,0,"50,51,475","50,51,475",0,0,53,53,0,"1,37,290","1,536",0,"2,021",0,0,0,831,"91,62,018","7,396","41,833","2,90,65,604","2,90,73,000","1,61,70,00,000",1.1
1945,Asia,"24,07,144","22,22,908","1,81,928","31,42,204","19,64,907","99,19,091",0,0,0,"30,369","30,369","74,51,998","9,40,000",0,0,0,0,"2,78,68,347","3,62,60,345",0,0,"11,36,81,431","11,36,81,431","2,710","52,30,216","12,525","5,52,28,775","7,243","1,20,950",0,0,"42,31,53,390","2,25,25,760","3,06,37,661","1,52,491","66,63,25,296","66,34,50,000","1,61,70,00,000",1.1
1945,Europe,"8,31,45,512","21,60,41,422","8,65,03,645","2,98,55,595","53,61,826","42,09,08,000",0,0,0,"60,68,020","60,68,020",0,0,0,0,0,0,"2,93,53,397","2,93,53,397",0,0,"7,25,632","7,25,632",0,"21,691","1,748",0,"6,231",0,181,0,"5,896","12,94,177","9,98,29,250","25,35,777","46,09,20,750","56,07,50,000","1,61,70,00,000",1.1
1945,Mideast,"87,174","6,35,929","31,80,260",0,"1,08,332","40,11,695",0,0,0,"6,23,240","6,23,240","4,15,98,322","1,84,96,742",0,0,0,0,0,"6,00,95,064",0,0,0,0,"10,000",0,0,0,0,0,0,0,0,0,561,"4,78,440","6,52,18,439","6,52,19,000","1,61,70,00,000",1.1
1945,West. Hem,"7,31,73,575","17,17,59,439","13,83,846","35,37,777","20,68,807","25,19,23,444","8,56,827","14,26,350","19,29,388","9,94,719","52,07,284",0,0,0,0,0,0,0,0,0,0,"18,30,820","18,30,820",0,0,"5,000",0,0,0,0,0,"55,00,000","2,28,125","2,30,11,662","66,48,385","27,13,43,058","28,93,75,655","1,61,70,00,000",1.1
1950,Africa,"33,02,860","7,36,193","72,60,770","6,09,769","48,84,121","1,67,93,713",0,0,0,"97,006","97,006",0,0,0,0,0,0,"55,08,523","55,08,523",0,0,194,194,0,"1,95,524","1,943",0,"3,004",0,0,0,973,"1,10,84,152","19,918","2,050","3,36,87,082","3,37,07,000","2,23,10,00,000",1.1
1950,Asia,"93,60,004","2,59,48,053","10,51,829","36,12,715","51,90,796","4,51,63,397",0,0,0,"54,754","54,754","79,87,175","9,23,000",0,0,0,0,"18,02,11,586","18,91,21,761",0,"1,40,31,137","14,40,32,385","15,80,63,522","1,14,462","30,11,06,975","59,10,591","6,54,52,839","4,53,734","9,21,828","18,16,754","26,46,410","42,56,81,485","7,60,81,638","6,91,93,934","4,99,371","1,27,30,89,521","1,30,02,08,016","2,23,10,00,000",1.1
1950,Europe,"4,02,93,475","18,21,46,023","9,10,04,796","2,97,39,026","45,34,844","34,77,18,164",0,0,0,"53,36,066","53,36,066",0,0,0,0,0,0,"3,01,09,208","3,01,09,208",0,0,"7,59,624","7,59,624",0,"44,995","10,022",0,"8,041",0,500,0,"9,763","12,38,087","10,07,73,236","5,12,294","38,57,46,764","48,65,20,000","2,23,10,00,000",1.1
1950,Mideast,"27,091","9,46,089","40,47,536",0,"93,138","51,13,854","10,90,162","6,607","4,404","5,29,038","16,30,211","4,89,34,129","2,00,21,082",0,0,"3,87,994",0,"17,600","6,93,60,805",0,0,0,0,"5,000",0,0,0,"1,72,960",0,0,0,0,0,0,"14,00,170","7,76,83,000","7,76,83,000","2,23,10,00,000",1.1
1950,West. Hem,"8,03,17,613","19,21,59,498","32,45,980","43,46,034","16,21,869","28,16,90,994","11,14,069","18,53,690","25,24,237","10,88,261","65,80,257",0,0,0,0,0,0,"20,770","20,770",0,0,"1,88,562","1,88,562",0,"2,006","10,001",0,"1,000",0,0,0,"62,49,873","4,50,003","2,29,38,228","97,32,066","30,49,25,532","32,24,55,008","2,23,10,00,000",1.1
1955,Africa,"40,14,921","8,02,667","72,72,036","7,53,661","60,94,033","1,89,37,318",0,0,0,"1,17,741","1,17,741",0,0,0,0,0,0,"60,02,686","60,02,686",0,0,707,707,0,"2,78,538","2,457",0,"7,593",0,0,0,"1,139","94,19,390","53,634","1,03,797","3,48,71,366","3,49,25,000","2,53,60,00,000",1.1
1955,Asia,"1,26,38,476","3,48,06,115","12,54,956","38,24,355","64,43,511","5,89,67,413",0,0,0,"81,070","81,070","86,58,503","10,00,000",0,0,0,0,"20,10,64,244","21,07,22,747",0,"3,35,22,360","14,44,41,261","17,79,63,621","1,26,582","32,83,31,380","63,42,714","6,81,45,114","7,38,141","11,82,738","16,19,287","27,85,120","37,87,70,746","8,28,51,650","16,18,95,190","14,02,045","1,32,00,30,368","1,43,62,33,000","2,53,60,00,000",1.1
1955,Europe,"8,55,70,895","22,35,76,835","9,61,20,344","2,93,06,649","65,97,713","44,11,72,436",0,0,0,"51,78,671","51,78,671",0,0,0,0,0,0,"3,33,90,170","3,33,90,170",0,0,"8,06,776","8,06,776",0,"93,684","57,446",0,"15,068",0,"1,375",0,"26,391","11,89,903","11,85,37,427","32,46,653","48,51,78,573","60,37,16,000","2,53,60,00,000",1.1
1955,Mideast,"32,782","17,40,329","32,02,941",0,"6,78,049","56,54,101","15,09,000","9,001","6,001","4,42,397","19,66,399","7,02,24,037","2,32,56,503",0,0,"4,45,582",0,"27,552","9,39,53,674",0,0,0,0,"14,180",0,0,0,0,0,0,0,"5,588",0,270,"11,35,788","10,27,29,730","10,27,30,000","2,53,60,00,000",1.1
